alpha,l1_ratio,n_selected_features,selected_features,MSE,RMSE,MAE,R2
0.005,1.0,0,[],0.01105282806154164,0.10513243106454659,0.07744249854503839,-0.008612060473100147
0.0045,0.95,0,[],0.01105282806154164,0.10513243106454659,0.07744249854503839,-0.008612060473100147
0.005,0.95,0,[],0.01105282806154164,0.10513243106454659,0.07744249854503839,-0.008612060473100147
0.0045,1.0,0,[],0.01105282806154164,0.10513243106454659,0.07744249854503839,-0.008612060473100147
0.005,0.9,0,[],0.01105282806154164,0.10513243106454659,0.07744249854503839,-0.008612060473100147
0.003,0.9,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011059122983791733,0.1051623648640127,0.07745623116349595,-0.009186495763854108
0.0035,0.8,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011059877536133756,0.10516595236165437,0.07745986610354652,-0.009255351498167919
0.003,0.95,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.01106095523198281,0.10517107602369964,0.07746655537670126,-0.009353695290799546
0.0045,0.9,1,['macd_hist'],0.011062058493788513,0.10517632097477318,0.07747901931192581,-0.00945437207296762
0.005,0.5,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011062074141531915,0.1051763953628946,0.07746318797602039,-0.009455799988305369
0.0025,1.0,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011062581937642093,0.10517880935645779,0.07746545823815429,-0.00950213828997204
0.003,0.8,6,"['gap', 'sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011064570518577047,0.1051882622661723,0.07747017923986163,-0.009683603766776239
0.0025,0.95,6,"['gap', 'sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011065363434783043,0.10519203123232787,0.07747271956374381,-0.009755960347721748
0.005,0.8,1,['macd_hist'],0.011065393218254732,0.10519217279938052,0.07749121720972674,-0.009758678201340798
0.004,1.0,1,['macd_hist'],0.01106540678999093,0.10519223730861003,0.07749126592839142,-0.009759916673226288
0.003,1.0,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011066525720590907,0.10519755567783363,0.07748595391638996,-0.00986202329170327
0.0045,0.5,6,"['gap', 'sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011069542406988337,0.1052118928970881,0.07749573161694076,-0.010137307252167549
0.0025,0.9,6,"['gap', 'sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011070243772455744,0.10521522595354602,0.0774991538872349,-0.010201309484472842
0.0035,0.9,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011075796784803965,0.10524161147000727,0.07753051151133895,-0.010708042711045085
0.004,0.8,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.01107967994732378,0.10526005865153117,0.07754799516530775,-0.011062395871019648
0.004,0.95,1,['macd_hist'],0.011080043506619576,0.10526178559486617,0.07754286306523658,-0.011095572021810662
0.004,0.5,6,"['gap', 'sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011086970739169952,0.10529468523705246,0.07756163619678487,-0.01172770800158962
0.0035,0.95,4,"['sma_5', 'sma_60', 'macd_hist', 'volume_ratio_20']",0.0110871730583966,0.10529564596124856,0.07757242076288516,-0.011746170390665611
0.0025,0.8,6,"['gap', 'sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011087823098734132,0.10529873265492863,0.07756482878690533,-0.011805489012160386
0.002,1.0,6,"['gap', 'sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011088119604131965,0.10530014057033336,0.07756594280583944,-0.011832546242996234
0.0045,0.8,1,['macd_hist'],0.011096672942734446,0.10534074683015326,0.0775968766700219,-0.01261307050554139
0.004,0.9,1,['macd_hist'],0.01109669940184518,0.10534087241828397,0.07759695768663605,-0.012615484998741211
0.0035,1.0,2,"['sma_5', 'macd_hist']",0.011097718186018962,0.10534570796201885,0.07760243439309397,-0.012708452879809817
