alpha,l1_ratio,n_selected_features,selected_features,MSE,RMSE,MAE,R2
0.0045,1.0,0,[],0.011052828061541635,0.10513243106454656,0.07744249854503835,-0.008612060473100147
0.005,1.0,0,[],0.011052828061541635,0.10513243106454656,0.07744249854503835,-0.008612060473100147
0.0055,1.0,0,[],0.011052828061541635,0.10513243106454656,0.07744249854503835,-0.008612060473100147
0.006,1.0,0,[],0.011052828061541635,0.10513243106454656,0.07744249854503835,-0.008612060473100147
0.0065,1.0,0,[],0.011052828061541635,0.10513243106454656,0.07744249854503835,-0.008612060473100147
0.0068,1.0,0,[],0.011052828061541635,0.10513243106454656,0.07744249854503835,-0.008612060473100147
0.0025,1.0,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.01106258193764208,0.10517880935645774,0.07746545823815423,-0.009502138289971374
0.004,1.0,1,['macd_hist'],0.01106540678999092,0.10519223730860999,0.07749126592839138,-0.009759916673226066
0.003,1.0,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011066525720590897,0.10519755567783358,0.07748595391638989,-0.009862023291702826
0.002,1.0,6,"['gap', 'sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.011088119604131952,0.1053001405703333,0.07756594280583938,-0.011832546242995345
0.0035,1.0,2,"['sma_5', 'macd_hist']",0.01109771818601895,0.1053457079620188,0.07760243439309392,-0.012708452879809151
0.0015,1.0,7,"['intraday_return', 'gap', 'sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'volume_ratio_20']",0.01115552475717771,0.10561971765337053,0.07785421942322981,-0.017983519543353088
0.001,1.0,7,"['intraday_return', 'gap', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14', 'volume_ratio_20']",0.011571839289499047,0.10757248388644304,0.07903024065386285,-0.05597378374646356
0.0005,1.0,11,"['intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'rsi_14', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_ratio_20']",0.012123444626884345,0.11010651491571398,0.08032766227104278,-0.10630984188564585
0.0001,1.0,20,"['return_5d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20']",0.014337552789582568,0.11973952058356743,0.08434109544488602,-0.3083555250044949
