feature,importance
sma_60,0.14633935134558212
sma_5,0.10600851738339372
volatility_20,0.09866575977937316
sma_20,0.09008498385060049
atr_14,0.07346327039745643
volume_sma_20,0.05037193789270513
macd_signal,0.04252729535594011
price_to_sma_60,0.04164935408818791
macd_hist,0.0411895302166149
rsi_14,0.03512235529705234
macd,0.03127029968751684
price_to_sma_20,0.02876960397946577
roc_20,0.025088990468744934
return_5d,0.022827691511927074
volatility_5,0.022387680348840786
volume_ratio_20,0.019355251068314774
return_20d,0.01899435207971364
roc_10,0.01849391981188016
gap,0.018428667179365487
return_10d,0.0160069804274843
high_low_range,0.013778271616922582
price_to_sma_5,0.01202826848607464
intraday_return,0.010982985035234165
volume_change_1d,0.009892531730896267
return_1d,0.006272150960712358
