feature,mean_abs_shap
sma_60,0.010863939
volatility_20,0.010037484
sma_5,0.0069180178
atr_14,0.006773955
volume_sma_20,0.0062537924
return_20d,0.005210862
macd_signal,0.0050700866
sma_20,0.004623132
price_to_sma_60,0.0040246504
price_to_sma_5,0.0033297478
macd,0.0032211104
intraday_return,0.0026777054
macd_hist,0.0025482976
volatility_5,0.0024948372
return_10d,0.0024461625
high_low_range,0.002410082
rsi_14,0.0022690303
price_to_sma_20,0.002063341
return_5d,0.001958376
volume_ratio_20,0.0018826828
volume_change_1d,0.0015465389
gap,0.0014078293
return_1d,0.001072931
roc_10,0.0006205382
roc_20,0.00048094153
