feature,importance
sma_60,0.06820813
atr_14,0.056487244
sma_5,0.05614564
roc_20,0.055738155
volatility_20,0.04890066
price_to_sma_20,0.047479752
macd_hist,0.045463577
return_20d,0.045398127
macd,0.04529152
sma_20,0.04488927
macd_signal,0.044063427
volume_sma_20,0.0437529
roc_10,0.042740773
rsi_14,0.041907195
price_to_sma_60,0.03881774
volatility_5,0.036146153
volume_ratio_20,0.033833213
return_5d,0.031767383
intraday_return,0.029503204
gap,0.028071107
high_low_range,0.027517278
return_10d,0.024806013
price_to_sma_5,0.024400875
volume_change_1d,0.021812348
return_1d,0.016858311
