feature,f_statistic,p_value
rsi_14,13.411640992325964,1.0953347565675127e-08
return_20d,8.223861381293943,1.9051655454103185e-05
roc_20,8.223861381293943,1.9051655454103185e-05
macd_hist,7.460668098210587,5.667901463785355e-05
sma_60,7.453630941227178,5.7250813598470634e-05
macd,7.435637865010035,5.873911642794396e-05
price_to_sma_60,7.213298358390889,8.064608035137378e-05
price_to_sma_20,7.2085236976415725,8.119660739056303e-05
sma_20,6.919352953522672,0.0001225622874664413
macd_signal,5.648772599593316,0.0007423682577094993
volume_ratio_20,4.299605806058475,0.004925684614180934
atr_14,4.129138723816924,0.006242945925877717
gap,3.5705027825900166,0.013512451090773448
return_5d,3.4562877302675648,0.01580797815729896
volume_sma_20,3.3276088093523897,0.018856125896237714
roc_10,3.2902911475305263,0.019843547471743612
return_10d,3.2902911475305263,0.019843547471743612
sma_5,2.7502670092521213,0.04130969081752305
price_to_sma_5,1.2262940577849235,0.29851532135606645
high_low_range,1.0923158555623438,0.35105915213222266
volatility_20,0.9625883302200559,0.40941784469487763
volume_change_1d,0.6528911668546189,0.5811017313048548
volatility_5,0.6156546156233005,0.6048315847285789
intraday_return,0.4409341171578448,0.7237445453479483
return_1d,0.15269933926483276,0.9279858577463207
