feature,mi_score
sma_5,0.09213259460728773
sma_20,0.07593698228082157
atr_14,0.07369170226745148
sma_60,0.07010141243877799
volatility_20,0.06888292451796829
volume_sma_20,0.06602331713724263
price_to_sma_60,0.0561055051418613
rsi_14,0.05327319321121582
macd,0.051430158654806046
price_to_sma_20,0.04467114240462422
volatility_5,0.04075961104668124
roc_20,0.039973509597142964
return_20d,0.039964805556497396
macd_signal,0.03394306202232489
gap,0.03370685205246282
macd_hist,0.03113193746612053
return_1d,0.02634850684283574
volume_change_1d,0.022044212505201166
roc_10,0.01610041588222444
return_10d,0.016059407063803377
high_low_range,0.01472113459712343
price_to_sma_5,0.013704183887406352
return_5d,0.013152216575174513
volume_ratio_20,0.006572378856855465
intraday_return,0.0
