feature,pearson,abs_pearson
rsi_14,0.07271258478106361,0.07271258478106361
return_20d,0.07027948646743289,0.07027948646743289
roc_20,0.07027948646743289,0.07027948646743289
macd_hist,0.07003619032903728,0.07003619032903728
macd,0.06140943349679284,0.06140943349679284
price_to_sma_20,0.058953956947242356,0.058953956947242356
volume_ratio_20,0.053824782215716294,0.053824782215716294
price_to_sma_60,0.04735686153525293,0.04735686153525293
macd_signal,0.04536648996997351,0.04536648996997351
roc_10,0.039736867628412456,0.039736867628412456
return_10d,0.039736867628412456,0.039736867628412456
volatility_20,-0.039733039404485644,0.039733039404485644
intraday_return,-0.03686040985343498,0.03686040985343498
sma_5,0.03177818834440481,0.03177818834440481
return_1d,-0.031542357506101015,0.031542357506101015
volume_change_1d,0.024475122583293575,0.024475122583293575
sma_60,0.024354355079068246,0.024354355079068246
high_low_range,-0.023711932702756428,0.023711932702756428
atr_14,-0.020657879292383143,0.020657879292383143
price_to_sma_5,-0.019471817690990337,0.019471817690990337
sma_20,0.019335570358418746,0.019335570358418746
volume_sma_20,0.017405708309775714,0.017405708309775714
volatility_5,0.01112457638231685,0.01112457638231685
gap,-0.006251197960632946,0.006251197960632946
return_5d,-0.0006032388497483593,0.0006032388497483593
