,return_1d,return_5d,return_10d,return_20d,intraday_return,high_low_range,gap,sma_5,sma_20,sma_60,price_to_sma_5,price_to_sma_20,price_to_sma_60,rsi_14,roc_10,roc_20,macd,macd_signal,macd_hist,volatility_5,volatility_20,atr_14,volume_change_1d,volume_sma_20,volume_ratio_20
return_1d,1.0,0.4394443149180525,0.3161581365947894,0.2522892059840409,0.7501515106048794,0.049980460461828295,0.6409534298998301,0.026196702811659475,0.016310206992947225,0.015550846115926083,0.7225932629793089,0.39070217385337536,0.23133492549331625,0.3496731184018409,0.3161581365947894,0.2522892059840409,0.061447891243291704,0.02970686925066047,0.12633451133418086,0.05416985566377191,0.014721275883823392,0.002407830569733804,0.08835818473818868,0.0135156024024,0.19901531599793862
return_5d,0.4394443149180525,1.0,0.7128151309862367,0.5611364363826883,0.33658224207510623,0.07948546367589983,0.275087702416716,0.09262522894040363,0.04218615797810804,0.028794870858518676,0.8095704445884842,0.7845762649005816,0.5107941547844937,0.6912490474599942,0.7128151309862367,0.5611364363826883,0.24851258694258963,0.14006804128974656,0.4394845672062326,0.058224815043972096,0.015869603641678977,-0.0035051952965692965,0.03539125572732112,0.03138792456340178,0.2707418360832886
return_10d,0.3161581365947894,0.7128151309862367,1.0,0.7509870107184095,0.28294473638823636,0.1603151471143648,0.15059081662444346,0.15568480159955925,0.07718063470210428,0.04156432412405138,0.5864758006782438,0.9258485552709675,0.6814799569325118,0.8108378940682632,1.0,0.7509870107184095,0.4214111261505176,0.2974613631545626,0.5303028579894962,0.10863868273943318,0.06261924119380775,0.014227723847905927,0.026114530816412716,0.05620175190305561,0.2800624036178083
return_20d,0.2522892059840409,0.5611364363826883,0.7509870107184095,1.0,0.22827249773926225,0.16715005455819892,0.11818129848231818,0.25139757172080224,0.16834094128903532,0.08237169954989668,0.4558790876677435,0.8769724375601473,0.8782371375934315,0.8333870829788108,0.7509870107184095,1.0,0.5998963632436585,0.5238450356625243,0.3949050570046302,0.12336445260201968,0.1330101375901631,0.07528832789160221,0.0028878471845738495,0.09524561179345765,0.1716803013617473
intraday_return,0.7501515106048794,0.33658224207510623,0.28294473638823636,0.22827249773926225,1.0,0.03769954962253174,-0.02628184384090899,-0.018299429743601037,-0.03516312054303763,-0.04669396184683923,0.5546115214380288,0.340067906420692,0.21238089352563028,0.29908831295490457,0.28294473638823636,0.2282724977392623,0.09252784338991296,0.06010078159911632,0.1351255015487866,-0.02767113858161683,-0.05325673374493352,-0.06177157395034344,0.12284651877626888,0.008224047888271465,0.18141339736659265
high_low_range,0.049980460461828295,0.07948546367589983,0.1603151471143648,0.16715005455819892,0.03769954962253174,1.0,0.03060895507154597,0.3660462710721165,0.3693810775157069,0.35978610587659665,0.030307274226827347,0.14101864109120094,0.22551469759971163,0.1423555716723392,0.1603151471143648,0.16715005455819898,0.1305303027466292,0.1701288337552895,-0.11540423845158637,0.5742764559620052,0.49835594434591546,0.4046976516316364,0.2263354388055029,0.018037285406558034,0.5143018514777288
gap,0.6409534298998301,0.275087702416716,0.15059081662444346,0.11818129848231818,-0.02628184384090899,0.03060895507154597,1.0,0.059893490048949,0.06434407639923602,0.07635214953270889,0.44988883012211955,0.19764255807961095,0.10492480646250031,0.1827621679322343,0.15059081662444346,0.11818129848231818,-0.013545198004526394,-0.024273758146616354,0.03571153603039979,0.11046193741594633,0.08278924052573274,0.07382947222218415,-0.010689086556485802,0.010398542548260227,0.08760710856392126
sma_5,0.026196702811659475,0.09262522894040363,0.15568480159955925,0.25139757172080224,-0.018299429743601037,0.3660462710721165,0.059893490048949,1.0,0.989565173452365,0.9482140773172937,0.044998535386669446,0.1629712661933063,0.39504620007855423,0.18498956512323733,0.1556848015995593,0.25139757172080224,0.48167586614011365,0.552774781619815,-0.1568307317566563,0.45037823904149055,0.5870231956975253,0.9330147068636795,-0.027553021753616163,-0.09870469610663446,-0.007951814383185837
sma_20,0.016310206992947225,0.04218615797810804,0.07718063470210428,0.16834094128903532,-0.03516312054303763,0.3693810775157069,0.06434407639923602,0.989565173452365,1.0,0.974003661901336,0.014663637612474191,0.07985327412814684,0.32050220454761996,0.12727400946948125,0.07718063470210429,0.16834094128903535,0.367390201966649,0.46426303477864833,-0.2725313134808654,0.46609022139662687,0.6055005096186781,0.9645333691537256,-0.027852352338337636,-0.10079571414380932,-0.019328757656516437
sma_60,0.015550846115926083,0.028794870858518676,0.04156432412405138,0.08237169954989668,-0.04669396184683923,0.35978610587659665,0.07635214953270889,0.9482140773172937,0.974003661901336,1.0,0.009222167788420353,0.02856949386044885,0.20223858602032363,0.07335477265128294,0.0415643241240514,0.08237169954989668,0.18378147737232642,0.26468375736528527,-0.2526648120084056,0.47140934271720075,0.624845198806344,0.9674219917774949,-0.028127253462063836,-0.11928872484182464,-0.02408286251812338
