method,n_features,step,n_estimators,max_depth,max_features,features,rmse
RFE + Random Forest,15,1.0,300,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05042432626908158
RFE + Random Forest,15,1.0,500,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05046591864015211
RFE + Random Forest,15,1.0,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.050482655964731206
RFE + Random Forest,15,2.0,500,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05060640572002573
RFE + Random Forest,15,0.1,500,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05060640572002573
RFE + Random Forest,20,0.1,500,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050615862891744884
RFE + Random Forest,20,2.0,500,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050615862891744884
RFE + Random Forest,15,1.0,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.0506334001568561
RFE + Random Forest,20,2.0,100,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050666040387938704
RFE + Random Forest,20,0.1,100,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050666040387938704
RFE + Random Forest,15,2.0,300,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05068705396811193
RFE + Random Forest,15,0.1,300,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05068705396811193
RFE + Random Forest,20,2.0,300,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050705379297543346
RFE + Random Forest,20,0.1,300,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050705379297543346
RFE + Random Forest,15,1.0,300,,0.5,"['return_1d', 'return_10d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05072082115577245
RFE + Random Forest,15,2.0,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05076519750799876
RFE + Random Forest,15,0.1,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.050765197507998766
RFE + Random Forest,20,1.0,500,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050794899162000924
RFE + Random Forest,15,2.0,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.050816912921916146
RFE + Random Forest,15,0.1,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.050816912921916146
RFE + Random Forest,20,1.0,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05085447636619188
RFE + Random Forest,20,1.0,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050856958435865796
RFE + Random Forest,20,0.1,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050856958435865796
RFE + Random Forest,20,2.0,100,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.050856958435865796
RFE + Random Forest,15,0.1,100,,0.5,"['return_1d', 'return_10d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.0508760414012568
RFE + Random Forest,15,1.0,100,,0.5,"['return_1d', 'return_10d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05087604140125681
RFE + Random Forest,15,2.0,100,,0.5,"['return_1d', 'return_10d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.05087604140125681
RFE + Random Forest,15,2.0,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.050902780579565376
RFE + Random Forest,15,0.1,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_ratio_20', 'target_return_5d']",0.050902780579565376
RFE + Random Forest,20,1.0,300,10.0,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.0509062895989988
RFE + Random Forest,20,1.0,500,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05096819958767496
RFE + Random Forest,20,2.0,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05099487439617718
RFE + Random Forest,20,0.1,300,,0.5,"['return_1d', 'return_10d', 'return_20d', 'intraday_return', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20', 'target_return_5d']",0.05099487439617718
