n_features_to_select,rfe_step,selected_features,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,rmse,mae,r2
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,2,0.03,0.8,0.8,0.10268217535733401,0.07660464808852391,0.03785425335231618
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,2,0.03,0.8,1.0,0.10259076230420042,0.07647773967035007,0.039566595926131765
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,2,0.03,1.0,0.8,0.10274129292199514,0.07658954358667763,0.036746055420783685
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,2,0.03,1.0,1.0,0.10273839986704297,0.0764639701974609,0.036800302496711956
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,2,0.1,0.8,0.8,0.10484021294671479,0.07828900797631368,-0.003012929855858104
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,2,0.1,0.8,1.0,0.10602559522856331,0.07940268976685791,-0.025822407461793873
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,2,0.1,1.0,0.8,0.10518622848980566,0.0785968517659032,-0.009644560421914194
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,2,0.1,1.0,1.0,0.10450202790686855,0.07778306785573993,0.0034475087455736464
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,3,0.03,0.8,0.8,0.10441927270476382,0.0778519392989075,0.005025224518112492
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,3,0.03,0.8,1.0,0.10375930089456972,0.07741743062009925,0.01756275947453556
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,3,0.03,1.0,0.8,0.10484680429979674,0.07831384716498493,-0.003139053601806996
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,3,0.03,1.0,1.0,0.10297753801774116,0.07727566334800832,0.03231111701975142
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,3,0.1,0.8,0.8,0.1073948435203467,0.08081685702579572,-0.05248908804692154
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,3,0.1,0.8,1.0,0.1089110817187082,0.08179991238842085,-0.08241770118208569
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,3,0.1,1.0,0.8,0.10860020409569063,0.08142329795701961,-0.07624717781715118
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,3,0.1,1.0,1.0,0.10694948938022794,0.08024358383189177,-0.0437780834619681
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,5,0.03,0.8,0.8,0.10768016206909685,0.08021171735750805,-0.05808886452521267
5,1.0,"sma_5,sma_60,macd_signal,volatility_20,atr_14",100,5,0.03,0.8,1.0,0.10595014755144663,0.07885029151355494,-0.024362979100317705
