,return_1d,return_5d,return_10d,return_20d,intraday_return,high_low_range,gap,sma_5,sma_20,sma_60,price_to_sma_5,price_to_sma_20,price_to_sma_60,rsi_14,roc_10,roc_20,macd,macd_signal,macd_hist,volatility_5,volatility_20,atr_14,volume_change_1d,volume_sma_20,volume_ratio_20
return_1d,1.0,0.4000337087306425,0.2803385924258464,0.21488649889818562,0.7272465699162496,0.04139548156902658,0.5447152668774272,0.027791786234432445,0.02179251673503284,0.023005683207436706,0.6745856832481714,0.34566095225169424,0.19929573291393038,0.33977762058261796,0.2803385924258464,0.21488649889818562,0.07697616739894861,0.038763613749460614,0.16547671709147532,0.030163167516891305,0.010175012985274887,0.022755358498330457,0.07525996630889983,0.02718653031626088,0.09658577051551696
return_5d,0.4000337087306425,1.0,0.6554114875948743,0.4818412226146267,0.2744166161227106,0.0445226586041641,0.25490823049472916,0.08705917392836535,0.03676096495324304,0.03221768903962675,0.7736835974547118,0.7218669201786658,0.4330231340983465,0.6777734617182523,0.6554114875948743,0.4818412226146267,0.31227720029909034,0.16510297284116565,0.6189607047922051,0.061224287936179435,0.027711085221000614,0.04721632689968651,0.030142797689193535,0.06486449240877995,0.17932463748119137
return_10d,0.2803385924258464,0.6554114875948743,1.0,0.6960961769355072,0.21898214286973552,0.09256078015139531,0.15820414644231232,0.1535306315789053,0.06767426884203132,0.04637760876036039,0.5317180967315969,0.9062332463790758,0.6082984926971137,0.8239308060546352,1.0,0.6960961769355072,0.5569387669009123,0.37521732558926996,0.7877035084342454,0.08490495260222136,0.05113789326908943,0.0790962876794481,0.025182892477274805,0.10520117882369179,0.2544756027885683
return_20d,0.21488649889818562,0.4818412226146267,0.6960961769355072,1.0,0.16837576895924056,0.13735136794712619,0.1296821689991817,0.24314680342842598,0.16036621376330473,0.08718170003648737,0.3932361970482471,0.8480273082900698,0.8272662271522055,0.8741512794116114,0.6960961769355072,1.0,0.821581180207475,0.7109997696789803,0.514982876862935,0.1117165311794987,0.1283290639299676,0.16198150247061152,0.0061744947815679995,0.20104568895701122,0.1653358704183554
intraday_return,0.7272465699162496,0.2744166161227106,0.21898214286973552,0.16837576895924056,1.0,-0.010234087038363687,-0.061860613530928414,-0.014952453070417182,-0.01966249749098421,-0.021870536756112335,0.4882049136044763,0.2635687886323814,0.15311663944923415,0.2549715318469853,0.21898214286973552,0.16837576895924056,0.06246504548784525,0.032245270997763524,0.12313011518472482,-0.021868002686141235,-0.04811244991267939,-0.033755510247301994,0.0829201575930775,0.017928560810186844,0.0497046512111961
high_low_range,0.04139548156902658,0.0445226586041641,0.09256078015139531,0.13735136794712619,-0.010234087038363687,1.0,0.03925714708705529,0.28160604978588605,0.2709568029346411,0.2518467453108293,0.042803134888153085,0.10720102364711141,0.1821000397330101,0.1395508821124677,0.09256078015139531,0.13735136794712619,0.17984317624038038,0.19981129396890862,0.03399618829096831,0.5784510544996289,0.5188929908817711,0.42042035485775675,0.28837120694830387,0.15655019231000455,0.43294027419850606
gap,0.5447152668774272,0.25490823049472916,0.15820414644231232,0.1296821689991817,-0.061860613530928414,0.03925714708705529,1.0,0.039321864099524206,0.035312045915443624,0.03847655100986927,0.4009774170644379,0.2010257239564566,0.10955953496641126,0.19602742519677205,0.15820414644231232,0.1296821689991817,0.03931068649586362,0.0118389107736909,0.10647024540670344,0.04892184321459843,0.062367548604371104,0.056405428911399505,0.013236894025134397,0.0038638630724670527,0.06757918002591712
sma_5,0.027791786234432445,0.08705917392836535,0.1535306315789053,0.24314680342842598,-0.014952453070417182,0.28160604978588605,0.039321864099524206,1.0,0.9914086045507944,0.9684561564148786,0.05892239397016766,0.18973150790606177,0.3650972863477467,0.2601213173273429,0.1535306315789053,0.24314680342842598,0.33683025606855677,0.3737685399254055,0.0029299816897989705,0.32005860701727323,0.41682637541282125,0.9258292851856169,0.0061967851753680575,-0.1252045219958545,0.01595654968519594
sma_20,0.02179251673503284,0.03676096495324304,0.06767426884203132,0.16036621376330473,-0.01966249749098421,0.2709568029346411,0.035312045915443624,0.9914086045507944,1.0,0.9828518760909448,0.033770987871235,0.09922895645711337,0.2982346511690928,0.17701555959182835,0.06767426884203132,0.16036621376330473,0.26373865214041375,0.32041632983547796,-0.07828246933309134,0.3109802219049786,0.4107148742460398,0.9279177112168004,0.0066440898271147636,-0.13963483835039123,-0.008491553293815485
sma_60,0.023005683207436706,0.03221768903962675,0.04637760876036039,0.08718170003648737,-0.021870536756112335,0.2518467453108293,0.03847655100986927,0.9684561564148786,0.9828518760909448,1.0,0.03338598631813747,0.06299486207444334,0.18134585671934308,0.1043126259139567,0.04637760876036039,0.08718170003648737,0.15170573343272176,0.19098705495327456,-0.04693278550100202,0.3016689531314799,0.3933148296248586,0.9146599795769895,0.008718303952426851,-0.185063275210437,-0.0006007462108798586
