n_features,step,n_estimators,max_depth,max_features,features
5,1.0,300,5.0,0.5,"['sma_5', 'sma_60', 'roc_20', 'volatility_20', 'atr_14']"
5,1.0,100,5.0,sqrt,"['sma_5', 'sma_60', 'roc_20', 'volatility_20', 'atr_14']"
5,1.0,100,5.0,log2,"['sma_5', 'sma_60', 'roc_20', 'volatility_20', 'atr_14']"
5,2.0,300,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,2.0,300,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,0.1,300,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,0.1,300,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,1.0,300,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,1.0,300,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,2.0,300,5.0,0.5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']"
5,0.1,300,5.0,0.5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']"
5,1.0,500,5.0,0.5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,1.0,500,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,1.0,500,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,0.1,500,5.0,0.5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']"
5,0.1,500,5.0,log2,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']"
5,2.0,500,5.0,sqrt,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']"
5,2.0,500,5.0,log2,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']"
5,2.0,500,5.0,0.5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']"
5,0.1,500,5.0,sqrt,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']"
5,2.0,100,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,2.0,100,5.0,0.5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,2.0,100,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,0.1,100,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,0.1,100,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,0.1,100,5.0,0.5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,1.0,100,5.0,0.5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,1.0,300,10.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,2.0,300,10.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,1.0,300,10.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,2.0,300,10.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,0.1,300,10.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,0.1,300,10.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,1.0,500,10.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
5,1.0,500,10.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']"
