method,n_features,step,n_estimators,max_depth,max_features,features,rmse
RFE + Random Forest,5,1.0,300,5.0,0.5,"['sma_5', 'sma_60', 'roc_20', 'volatility_20', 'atr_14']",0.10225143567526174
RFE + Random Forest,5,1.0,100,5.0,sqrt,"['sma_5', 'sma_60', 'roc_20', 'volatility_20', 'atr_14']",0.10226256615757987
RFE + Random Forest,5,1.0,100,5.0,log2,"['sma_5', 'sma_60', 'roc_20', 'volatility_20', 'atr_14']",0.10226256615757987
RFE + Random Forest,5,2.0,300,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10269343935979616
RFE + Random Forest,5,2.0,300,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10269343935979616
RFE + Random Forest,5,0.1,300,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10269343935979616
RFE + Random Forest,5,0.1,300,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10269343935979616
RFE + Random Forest,5,1.0,300,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10269343935979616
RFE + Random Forest,5,1.0,300,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10269343935979616
RFE + Random Forest,5,2.0,300,5.0,0.5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.10276948714915622
RFE + Random Forest,5,0.1,300,5.0,0.5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.10276948714915622
RFE + Random Forest,5,1.0,500,5.0,0.5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10287783194026846
RFE + Random Forest,5,1.0,500,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10287783194026846
RFE + Random Forest,5,1.0,500,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10287783194026846
RFE + Random Forest,5,0.1,500,5.0,0.5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421
RFE + Random Forest,5,0.1,500,5.0,log2,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421
RFE + Random Forest,5,2.0,500,5.0,sqrt,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421
RFE + Random Forest,5,2.0,500,5.0,log2,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421
RFE + Random Forest,5,2.0,500,5.0,0.5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421
RFE + Random Forest,5,0.1,500,5.0,sqrt,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421
RFE + Random Forest,5,2.0,100,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10323876930190977
RFE + Random Forest,5,2.0,100,5.0,0.5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10323876930190977
RFE + Random Forest,5,2.0,100,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10323876930190977
RFE + Random Forest,5,0.1,100,5.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10323876930190977
RFE + Random Forest,5,0.1,100,5.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10323876930190977
RFE + Random Forest,5,0.1,100,5.0,0.5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10323876930190977
RFE + Random Forest,5,1.0,100,5.0,0.5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10323876930190977
RFE + Random Forest,5,1.0,300,10.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10348103266132333
RFE + Random Forest,5,2.0,300,10.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10348103266132333
RFE + Random Forest,5,1.0,300,10.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10348103266132334
RFE + Random Forest,5,2.0,300,10.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10348103266132334
RFE + Random Forest,5,0.1,300,10.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10348103266132334
RFE + Random Forest,5,0.1,300,10.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10348103266132336
RFE + Random Forest,5,1.0,500,10.0,sqrt,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10376570608935191
RFE + Random Forest,5,1.0,500,10.0,log2,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.10376570608935191
