rfe_n_features,rfe_step,selected_features,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,rmse,mae,r2
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,2,0.03,0.8,0.8,0.10126795212688015,0.07538171539766961,0.06417466581208076
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,2,0.03,0.8,1.0,0.10091792396625955,0.07490454617049352,0.07063276249976325
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,2,0.03,1.0,0.8,0.10110782255096153,0.07520915187341949,0.06713186664911919
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,2,0.03,1.0,1.0,0.10082668750239364,0.07497893688794204,0.07231242153727968
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,2,0.1,0.8,0.8,0.10305271641224005,0.07748164909346222,0.030897685446544032
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,2,0.1,0.8,1.0,0.10260861870505975,0.07729170413011177,0.03923223099920714
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,2,0.1,1.0,0.8,0.10425196794011306,0.07868647209852457,0.008211047568925545
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,2,0.1,1.0,1.0,0.10459405514985867,0.07892384343644793,0.0016915550819732728
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,3,0.03,0.8,0.8,0.10277208132180349,0.07624702618912792,0.03616865386449064
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,3,0.03,0.8,1.0,0.10255308953359253,0.07570871837141206,0.040271835719643656
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,3,0.03,1.0,0.8,0.10337308897494125,0.07668314079448381,0.024862785897016293
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,3,0.03,1.0,1.0,0.10197011597665764,0.07563213861990715,0.051152168775517426
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,3,0.1,0.8,0.8,0.10704081419611301,0.08109602608446571,-0.04556142137643704
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,3,0.1,0.8,1.0,0.1074210437176086,0.08066797314637714,-0.05300268412822651
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,3,0.1,1.0,0.8,0.10601640622441659,0.0798469151248574,-0.025644603642670294
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,3,0.1,1.0,1.0,0.10604897875684176,0.08003654065840575,-0.02627493955801863
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,5,0.03,0.8,0.8,0.10550978831477502,0.07790149967545378,-0.015865581315601895
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,5,0.03,0.8,1.0,0.10723808690938133,0.07910396653066594,-0.04941884353686099
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,5,0.03,1.0,0.8,0.10477272440989846,0.07762191011510611,-0.0017220113127092151
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,5,0.03,1.0,1.0,0.1059692253768089,0.07823064142576147,-0.024731914452220005
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,5,0.1,0.8,0.8,0.11029418024097662,0.082289910688781,-0.11008424027839525
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,5,0.1,0.8,1.0,0.10951817421582033,0.08054552912900072,-0.09451856614986598
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,5,0.1,1.0,0.8,0.10930798891948934,0.08237902798590431,-0.09032143712950202
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",100,5,0.1,1.0,1.0,0.11029966365444846,0.08282647376740089,-0.1101946214821432
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,2,0.03,0.8,0.8,0.10216177391960153,0.07659763107028292,0.04758200267697099
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,2,0.03,0.8,1.0,0.10190852117758852,0.07643472527126306,0.052298120988018115
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,2,0.03,1.0,0.8,0.10373471311258758,0.07828002423358715,0.018028319484323596
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",300,2,0.03,1.0,1.0,0.10427340072599114,0.0787713915517461,0.007803209026820523
