n_features_to_select,tol,n_selected_features,selected_features,MSE,RMSE,MAE,R2
5,0.0,5,"['return_1d', 'return_5d', 'high_low_range', 'price_to_sma_20', 'rsi_14']",0.012396586267880335,0.11133995809178453,0.08311011620185517,-0.1312350421866033
5,0.001,5,"['return_1d', 'return_5d', 'high_low_range', 'price_to_sma_20', 'rsi_14']",0.012396586267880335,0.11133995809178453,0.08311011620185517,-0.1312350421866033
5,0.005,5,"['return_1d', 'return_5d', 'high_low_range', 'price_to_sma_20', 'rsi_14']",0.012396586267880335,0.11133995809178453,0.08311011620185517,-0.1312350421866033
10,0.0,10,"['return_1d', 'return_5d', 'intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'macd_signal', 'volume_change_1d']",0.013271828409590172,0.11520342186580299,0.08598021189402194,-0.2111041738737669
10,0.001,10,"['return_1d', 'return_5d', 'intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'macd_signal', 'volume_change_1d']",0.013271828409590172,0.11520342186580299,0.08598021189402194,-0.2111041738737669
10,0.005,10,"['return_1d', 'return_5d', 'intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'macd_signal', 'volume_change_1d']",0.013271828409590172,0.11520342186580299,0.08598021189402194,-0.2111041738737669
15,0.0,15,"['return_1d', 'return_5d', 'return_10d', 'intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'volatility_20', 'volume_change_1d', 'volume_ratio_20']",0.013052395001512543,0.11424707874388974,0.08533519700569893,-0.191080051483959
15,0.001,15,"['return_1d', 'return_5d', 'return_10d', 'intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'volatility_20', 'volume_change_1d', 'volume_ratio_20']",0.013052395001512543,0.11424707874388974,0.08533519700569893,-0.191080051483959
15,0.005,15,"['return_1d', 'return_5d', 'return_10d', 'intraday_return', 'high_low_range', 'gap', 'price_to_sma_5', 'price_to_sma_20', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'volatility_20', 'volume_change_1d', 'volume_ratio_20']",0.013052395001512543,0.11424707874388974,0.08533519700569893,-0.191080051483959
20,0.0,20,"['return_1d', 'return_5d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_change_1d', 'volume_ratio_20']",0.012396658721966266,0.11134028346454963,0.08420830829021643,-0.13124165389398645
20,0.001,20,"['return_1d', 'return_5d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_change_1d', 'volume_ratio_20']",0.012396658721966266,0.11134028346454963,0.08420830829021643,-0.13124165389398645
20,0.005,20,"['return_1d', 'return_5d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'volume_change_1d', 'volume_ratio_20']",0.012396658721966266,0.11134028346454963,0.08420830829021643,-0.13124165389398645
