feature,horizon,ic_all,t_all,ic_up_days,ic_down_days,ic_beta_neutral,t_beta_neutral,ic_partial,t_partial
bm_ret_1d,1,-0.08775676346433019,-5.886228983598359,-0.061763463450673,-0.11526633931211737,-0.07023007453569517,-4.537840349466856,,
rv_intraday,1,-0.08367708032211374,-5.667139627634899,0.020173411267548645,-0.1944509380177536,-0.08091836734693877,-6.011550994623727,,
range_pct,1,-0.07531696083949437,-5.555846489426398,0.01664934659428591,-0.17341435543552663,-0.0761846999642489,-6.0002660155904515,-0.0215931071050707,-2.076322647574033
vshare_auction,1,0.06691262007818079,5.094041350492714,-0.007202920956998973,0.1459691971823725,0.06573431295595161,4.670382560172668,0.037942035084712375,3.3328306183912213
bm_gap,1,-0.06899442659538996,-3.6977541777965404,-0.016063483944620448,-0.12501300756745434,-0.05622023532812094,-3.815829482238381,-0.034671462361617736,-2.284653472327275
ret_intraday,1,-0.04669510677746424,-3.355573767922594,-0.04651315854958619,-0.04688918488720083,-0.03418750313756584,-2.1336716336691577,0.03537025392262517,2.571606966853425
close_loc,1,-0.04083328578797572,-3.4634747181879755,-0.03637957820626543,-0.0455839072084667,-0.026139984186175285,-2.023667404066237,0.017665003117885963,1.8784648138150324
vol_ret_corr,1,-0.04236503449952257,-4.247305860274893,-0.0005939801354245735,-0.0869208258212271,-0.034098572121156155,-3.2391269727997622,-0.00694542971330725,-0.8463756074649288
vshare_open30,1,-0.039435793643927915,-3.3211977949452267,0.020186164139904518,-0.10303254861334918,-0.03326406524148121,-2.5888921609989555,-0.0253623065582946,-2.224898787775902
vshare_late,1,0.029728630275833723,2.6953151754831195,-0.00916886497597717,0.07121929187776536,0.028521966478899256,2.549262730795664,0.009902331992633252,1.0133788351539368
ret_late,1,-0.00884588726162129,-0.593335333052735,0.006332337551791338,-0.025035993729261442,-0.006587664960794191,-0.47562341669528047,-0.01220866144691279,-0.9752275104187232
bm_ret_1d,5,-0.03476217463592363,-2.195617917146639,-0.01832328452981382,-0.060819564272204085,-0.037265658943579236,-2.519180549612959,,
rv_intraday,5,-0.04956208887629107,-1.5830520936429537,0.07893688350169469,-0.25461364054328955,-0.08142215709813336,-3.8242814322259733,,
range_pct,5,-0.05040613183985259,-1.8561090028723066,0.05924854409975493,-0.22538699770092843,-0.07830033927399292,-3.6435350934812325,-0.018560233182102544,-1.7224027021915769
vshare_auction,5,0.047298877930375,1.7835237925352194,-0.04231184297354271,0.19029470916003094,0.0749445660617188,3.0958119186323776,0.029637236383773653,1.5982565662868036
bm_gap,5,-0.031737998547724154,-1.795987434981124,-0.005038557692303823,-0.07405945266961383,-0.04361084210852429,-3.097806281327561,-0.014673692832237873,-1.1008722405434375
ret_intraday,5,-0.01297766833847435,-0.9895359746328591,-0.012551550662189782,-0.013657643353822062,-0.00867753775889207,-0.6191167292758815,0.026555063627655154,2.186344631461571
close_loc,5,-0.026183722502148846,-1.8786352095985577,-0.012304668410515755,-0.04833114924411654,-0.026501788741964315,-2.1473408808169037,0.0024869849379182143,0.25303733159330244
vol_ret_corr,5,-0.010428086264960277,-0.7048178463050685,0.02772790352873954,-0.07131530402086424,-0.023398888967351646,-1.7355192967857127,0.007669394884077757,0.7380386230032306
vshare_open30,5,-0.043788051154494835,-2.214901780772705,0.023767110130978705,-0.1515888404398249,-0.05863660169950333,-3.4914886292355805,-0.03194423554322229,-2.0571824767267404
vshare_late,5,0.029732915507071266,2.417047066211215,0.005200109979650109,0.06888100943380715,0.04196299107878445,3.074054866112263,0.022226108220874504,2.1155754116701537
ret_late,5,-0.02781396856160995,-2.0866200188528645,-0.007294797670454741,-0.060557326366644855,-0.02803738051387241,-2.1459900473803355,-0.01883800508274997,-1.5141867398306672
