code,minute_first,minute_last,minute_days,daily_days_in_range,missing_days,missing_pct,extra_days_not_in_daily,daily_first,n_bad_ts,n_dup_ts,raw_sorted_asc,train_minute_days,train_daily_days,val_minute_days,val_daily_days,test_minute_days,test_daily_days
000150,2025-09-01,2026-09-23,260,258,0,0.0,2,1985-01-04,0,0,False,0,4248,0,865,255,782
000270,2025-09-01,2026-09-23,260,258,0,0.0,2,1985-01-04,0,0,False,0,4248,0,865,255,782
000660,2025-09-01,2026-09-23,260,258,0,0.0,2,1996-12-26,0,0,False,0,4248,0,865,255,782
000810,2025-09-01,2026-09-23,260,258,0,0.0,2,1985-01-04,0,0,False,0,4248,0,865,255,782
003550,2025-09-01,2026-09-23,260,258,0,0.0,2,1985-01-04,0,0,False,0,4248,0,865,255,782
003670,2025-09-01,2026-09-23,260,258,0,0.0,2,2001-11-01,0,0,False,0,4248,0,865,255,782
005380,2025-09-01,2026-09-23,260,258,0,0.0,2,1985-01-04,0,0,False,0,4248,0,865,255,782
005490,2025-09-01,2026-09-23,260,258,0,0.0,2,1988-06-10,0,0,False,0,4248,0,865,255,782
005930,2025-09-01,2026-09-23,260,258,0,0.0,2,1985-01-04,0,8969,False,0,4248,0,865,255,782
006400,2025-09-01,2026-09-23,260,258,0,0.0,2,1985-01-04,0,0,False,0,4248,0,865,255,782
006800,2025-09-01,2026-09-23,260,258,0,0.0,2,1985-01-04,0,0,False,0,4248,0,865,255,782
009150,2025-09-01,2026-09-23,260,258,0,0.0,2,1985-01-04,0,0,False,0,4248,0,865,255,782
009540,2025-09-01,2026-09-23,260,258,0,0.0,2,1996-07-01,0,0,False,0,4248,0,865,255,782
010120,2025-09-01,2026-09-23,257,258,3,1.16,2,1994-07-11,0,0,False,0,4248,0,865,252,782
010130,2025-09-01,2026-09-23,260,258,0,0.0,2,1990-10-24,0,0,False,0,4248,0,865,255,782
010140,2025-09-01,2026-09-23,260,258,0,0.0,2,1994-01-28,0,0,False,0,4248,0,865,255,782
010950,2025-09-01,2026-09-23,260,258,0,0.0,2,1987-05-27,0,0,False,0,4248,0,865,255,782
011200,2025-09-01,2026-09-23,260,258,0,0.0,2,1995-10-05,0,0,False,0,4248,0,865,255,782
012330,2025-09-01,2026-09-23,260,258,0,0.0,2,1989-09-05,0,0,False,0,4248,0,865,255,782
012450,2025-09-01,2026-09-23,260,258,0,0.0,2,1987-05-27,0,0,False,0,4248,0,865,255,782
015760,2025-09-01,2026-09-23,260,258,0,0.0,2,1989-08-10,0,0,False,0,4248,0,865,255,782
017670,2025-09-01,2026-09-23,260,258,0,0.0,2,1989-11-07,0,0,False,0,4248,0,865,255,782
018260,2025-09-01,2026-09-23,260,258,0,0.0,2,2014-08-25,0,0,False,0,1313,0,865,255,782
024110,2025-09-01,2026-09-23,260,258,0,0.0,2,1996-07-01,0,0,False,0,4248,0,865,255,782
028260,2025-09-01,2026-09-23,260,258,0,0.0,2,2014-12-18,0,0,False,0,1235,0,865,255,782
032830,2025-09-01,2026-09-23,260,258,0,0.0,2,2010-05-12,0,0,False,0,2377,0,865,255,782
033780,2025-09-01,2026-09-23,260,258,0,0.0,2,1999-10-08,0,0,False,0,4248,0,865,255,782
034020,2025-09-01,2026-09-23,260,258,0,0.0,2,2000-10-25,0,0,False,0,4248,0,865,255,782
034730,2025-09-01,2026-09-23,260,258,0,0.0,2,2009-11-11,0,0,False,0,2501,0,865,255,782
035420,2025-09-01,2026-09-23,260,258,0,0.0,2,2002-10-29,0,0,False,0,4248,0,865,255,782
042660,2025-09-01,2026-09-23,260,258,0,0.0,2,2001-02-02,0,0,False,0,4248,0,865,255,782
042700,2025-09-01,2026-09-23,260,258,0,0.0,2,2005-07-22,0,0,False,0,3572,0,865,255,782
051910,2025-09-01,2026-09-23,260,258,0,0.0,2,2001-04-25,0,0,False,0,4248,0,865,255,782
055550,2025-09-01,2026-09-23,260,258,0,0.0,2,2001-09-10,0,0,False,0,4248,0,865,255,782
066570,2025-09-01,2026-09-23,260,258,0,0.0,2,2002-04-22,0,0,False,0,4248,0,865,255,782
068270,2025-09-01,2026-09-23,260,258,0,0.0,2,2005-07-19,0,0,False,0,3575,0,865,255,782
079550,2025-09-01,2026-09-23,260,258,0,0.0,2,2015-10-02,0,0,False,0,1041,0,865,255,782
086280,2025-09-01,2026-09-23,260,258,0,0.0,2,2005-12-26,0,0,False,0,3464,0,865,255,782
086790,2025-09-01,2026-09-23,260,258,0,0.0,2,2005-12-12,0,0,False,0,3474,0,865,255,782
096770,2025-09-01,2026-09-23,260,258,0,0.0,2,2007-07-25,0,0,False,0,3073,0,865,255,782
105560,2025-09-01,2026-09-23,260,258,0,0.0,2,2008-10-10,0,0,False,0,2776,0,865,255,782
138040,2025-09-01,2026-09-23,260,258,0,0.0,2,2011-05-13,0,0,False,0,2127,0,865,255,782
207940,2025-09-01,2026-09-23,243,258,17,6.59,2,2016-11-10,0,0,False,0,769,0,865,238,782
267250,2025-09-01,2026-09-23,260,258,0,0.0,2,2017-05-10,0,0,False,0,648,0,865,255,782
267260,2025-09-01,2026-09-23,260,258,0,0.0,2,2017-05-10,0,0,False,0,648,0,865,255,782
298040,2025-09-01,2026-09-23,260,258,0,0.0,2,2018-07-13,0,0,False,0,360,0,865,255,782
316140,2025-09-01,2026-09-23,260,258,0,0.0,2,2019-02-13,0,0,False,0,219,0,865,255,782
329180,2025-09-01,2026-09-23,260,258,0,0.0,2,2021-09-17,0,0,False,0,0,0,439,255,782
373220,2025-09-01,2026-09-23,260,258,0,0.0,2,2022-01-27,0,0,False,0,0,0,351,255,782
402340,2025-09-01,2026-09-23,260,258,0,0.0,2,2021-11-29,0,0,False,0,0,0,393,255,782
