code,date,kind
000150,2026-09-22,not_in_daily
000150,2026-09-23,not_in_daily
000270,2026-09-22,not_in_daily
000270,2026-09-23,not_in_daily
000660,2026-09-22,not_in_daily
000660,2026-09-23,not_in_daily
000810,2026-09-22,not_in_daily
000810,2026-09-23,not_in_daily
003550,2026-09-22,not_in_daily
003550,2026-09-23,not_in_daily
003670,2026-09-22,not_in_daily
003670,2026-09-23,not_in_daily
005380,2026-09-22,not_in_daily
005380,2026-09-23,not_in_daily
005490,2026-09-22,not_in_daily
005490,2026-09-23,not_in_daily
005930,2026-09-22,not_in_daily
005930,2026-09-23,not_in_daily
006400,2026-09-22,not_in_daily
006400,2026-09-23,not_in_daily
006800,2026-09-22,not_in_daily
006800,2026-09-23,not_in_daily
009150,2026-09-22,not_in_daily
009150,2026-09-23,not_in_daily
009540,2026-09-22,not_in_daily
009540,2026-09-23,not_in_daily
010120,2026-04-08,missing_in_minute
010120,2026-04-09,missing_in_minute
010120,2026-04-10,missing_in_minute
010120,2026-09-22,not_in_daily
010120,2026-09-23,not_in_daily
010130,2026-09-22,not_in_daily
010130,2026-09-23,not_in_daily
010140,2026-09-22,not_in_daily
010140,2026-09-23,not_in_daily
010950,2026-09-22,not_in_daily
010950,2026-09-23,not_in_daily
011200,2026-09-22,not_in_daily
011200,2026-09-23,not_in_daily
012330,2026-09-22,not_in_daily
012330,2026-09-23,not_in_daily
012450,2026-09-22,not_in_daily
012450,2026-09-23,not_in_daily
015760,2026-09-22,not_in_daily
015760,2026-09-23,not_in_daily
017670,2026-09-22,not_in_daily
017670,2026-09-23,not_in_daily
018260,2026-09-22,not_in_daily
018260,2026-09-23,not_in_daily
024110,2026-09-22,not_in_daily
024110,2026-09-23,not_in_daily
028260,2026-09-22,not_in_daily
028260,2026-09-23,not_in_daily
032830,2026-09-22,not_in_daily
032830,2026-09-23,not_in_daily
033780,2026-09-22,not_in_daily
033780,2026-09-23,not_in_daily
034020,2026-09-22,not_in_daily
034020,2026-09-23,not_in_daily
034730,2026-09-22,not_in_daily
034730,2026-09-23,not_in_daily
035420,2026-09-22,not_in_daily
035420,2026-09-23,not_in_daily
042660,2026-09-22,not_in_daily
042660,2026-09-23,not_in_daily
042700,2026-09-22,not_in_daily
042700,2026-09-23,not_in_daily
051910,2026-09-22,not_in_daily
051910,2026-09-23,not_in_daily
055550,2026-09-22,not_in_daily
055550,2026-09-23,not_in_daily
066570,2026-09-22,not_in_daily
066570,2026-09-23,not_in_daily
068270,2026-09-22,not_in_daily
068270,2026-09-23,not_in_daily
079550,2026-09-22,not_in_daily
079550,2026-09-23,not_in_daily
086280,2026-09-22,not_in_daily
086280,2026-09-23,not_in_daily
086790,2026-09-22,not_in_daily
086790,2026-09-23,not_in_daily
096770,2026-09-22,not_in_daily
096770,2026-09-23,not_in_daily
105560,2026-09-22,not_in_daily
105560,2026-09-23,not_in_daily
138040,2026-09-22,not_in_daily
138040,2026-09-23,not_in_daily
207940,2025-10-30,missing_in_minute
207940,2025-10-31,missing_in_minute
207940,2025-11-03,missing_in_minute
207940,2025-11-04,missing_in_minute
207940,2025-11-05,missing_in_minute
207940,2025-11-06,missing_in_minute
207940,2025-11-07,missing_in_minute
207940,2025-11-10,missing_in_minute
207940,2025-11-11,missing_in_minute
207940,2025-11-12,missing_in_minute
207940,2025-11-13,missing_in_minute
207940,2025-11-14,missing_in_minute
207940,2025-11-17,missing_in_minute
207940,2025-11-18,missing_in_minute
207940,2025-11-19,missing_in_minute
207940,2025-11-20,missing_in_minute
207940,2025-11-21,missing_in_minute
207940,2026-09-22,not_in_daily
207940,2026-09-23,not_in_daily
267250,2026-09-22,not_in_daily
267250,2026-09-23,not_in_daily
267260,2026-09-22,not_in_daily
267260,2026-09-23,not_in_daily
298040,2026-09-22,not_in_daily
298040,2026-09-23,not_in_daily
316140,2026-09-22,not_in_daily
316140,2026-09-23,not_in_daily
329180,2026-09-22,not_in_daily
329180,2026-09-23,not_in_daily
373220,2026-09-22,not_in_daily
373220,2026-09-23,not_in_daily
402340,2026-09-22,not_in_daily
402340,2026-09-23,not_in_daily
