code,overlap_days,open_ratio_median,open_mismatch_pct,high_ratio_median,high_mismatch_pct,low_ratio_median,low_mismatch_pct,close_ratio_median,close_mismatch_pct,volume_ratio_median,volume_ratio_p05,volume_ratio_p95,adj_breaks,close_ratio_far_from_1_pct
000150,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9745,1.0,0,0.0
000270,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8981,1.0,0,0.0
000660,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9806,0.8953,1.0,0,0.0
000810,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.669,1.0,0,0.0
003550,258,1.0,0.0,1.0,0.39,1.0,0.0,1.0,0.39,1.0,0.8765,1.0,0,0.0
003670,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9962,1.0,0,0.0
005380,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9608,1.0,0,0.0
005490,258,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.0,1.0,0.9927,1.0,0,0.0
005930,258,1.0,0.0,1.0,0.39,1.0,0.0,1.0,0.39,0.9899,0.9239,1.0,0,0.0
006400,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9844,1.0,0,0.0
006800,258,1.0,0.0,1.0,0.39,1.0,0.0,1.0,0.39,0.9957,0.9815,1.0,0,0.0
009150,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9579,1.0,0,0.0
009540,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9329,1.0,0,0.0
010120,255,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,0.2,0.1993,1.0,0,0.0
010130,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9822,1.0,0,0.0
010140,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9861,1.0,0,0.0
010950,258,1.0,0.0,1.0,0.39,1.0,0.0,1.0,0.0,1.0,0.9882,1.0,0,0.0
011200,258,1.0,0.0,1.0,0.39,1.0,0.0,1.0,0.0,1.0,0.9877,1.0,0,0.0
012330,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9079,1.0,0,0.0
012450,258,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.0,0.9993,0.7688,1.0,0,0.0
015760,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9909,1.0,0,0.0
017670,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8997,1.0,0,0.0
018260,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9752,1.0,0,0.0
024110,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9391,1.0,0,0.0
028260,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.8701,1.0,0,0.0
032830,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,0.9999,0.7256,1.0,0,0.0
033780,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7716,1.0,0,0.0
034020,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9809,1.0,0,0.0
034730,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9701,1.0,0,0.0
035420,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9648,1.0,0,0.0
042660,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9878,1.0,0,0.0
042700,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9881,1.0,0,0.0
051910,258,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.0,1.0,0.8913,1.0,0,0.0
055550,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7961,1.0,0,0.0
066570,258,1.0,0.0,1.0,0.39,1.0,0.0,1.0,0.39,1.0,0.9852,1.0,0,0.0
068270,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9532,0.9415,1.0,0,0.0
079550,258,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.39,1.0,0.9733,1.0,0,0.0
086280,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9349,1.0,0,0.0
086790,258,1.0,0.0,1.0,0.39,1.0,0.0,1.0,0.0,1.0,0.8765,1.0,0,0.0
096770,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9948,1.0,0,0.0
105560,258,1.0,0.0,1.0,0.39,1.0,0.0,1.0,0.0,0.9996,0.8954,1.0,0,0.0
138040,258,1.0,0.0,1.0,0.39,1.0,0.0,1.0,0.0,1.0,0.9884,1.0,0,0.0
207940,241,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9346,1.4717,0,0.0
267250,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.973,1.0,0,0.0
267260,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.39,1.0,0.9135,1.0,0,0.0
298040,258,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9521,1.0,0,0.0
