code,bar_interval_min,bars_per_day_median,bars_per_day_min,bars_per_day_max,first_bar_mode,first_bar_mode_share,last_bar_mode,last_bar_mode_share,zero_vol_bar_pct,ohlc_violation_bars,presence_09:00,volshare_09:00,presence_09:15,volshare_09:15,presence_09:30,volshare_09:30,presence_15:00,volshare_15:00,presence_15:15,volshare_15:15,presence_15:20,volshare_15:20,presence_15:30,volshare_15:30,presence_15:45,volshare_15:45
000150,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.1083,0.9885,0.0679,0.9923,0.0558,1.0,0.042,1.0,0.0156,0.0,0.0,1.0,0.0491,0.0038,0.0188
000270,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.1205,0.9885,0.0589,0.9923,0.0477,1.0,0.0424,1.0,0.0166,0.0,0.0,1.0,0.1196,0.0038,0.0201
000660,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.1444,0.9885,0.061,0.9923,0.0487,1.0,0.0426,1.0,0.0172,0.0,0.0,1.0,0.0878,0.0038,0.0528
000810,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.0959,0.9885,0.0463,0.9923,0.0395,1.0,0.0493,1.0,0.0229,0.0,0.0,1.0,0.1534,0.0038,0.0441
003550,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.0888,0.9885,0.0525,0.9923,0.045,1.0,0.0481,1.0,0.02,0.0,0.0,1.0,0.1233,0.0038,0.032
003670,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.1378,0.9885,0.078,0.9923,0.0602,1.0,0.0443,1.0,0.0164,0.0,0.0,1.0,0.0577,0.0038,0.024
005380,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.135,0.9885,0.0718,0.9923,0.0543,1.0,0.0368,1.0,0.0153,0.0,0.0,1.0,0.0735,0.0038,0.0231
005490,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.1255,0.9885,0.0683,0.9923,0.0535,1.0,0.0493,1.0,0.0188,0.0,0.0,1.0,0.0942,0.0038,0.0067
005930,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.1381,0.9885,0.0611,0.9923,0.0475,1.0,0.0388,1.0,0.0155,0.0,0.0,1.0,0.092,0.0038,0.0276
006400,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.1465,0.9885,0.0769,0.9923,0.0576,1.0,0.0455,1.0,0.0172,0.0,0.0,1.0,0.0678,0.0038,0.0266
006800,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.1309,0.9885,0.0743,0.9923,0.0624,1.0,0.0369,1.0,0.0149,0.0,0.0,1.0,0.0527,0.0038,0.0244
009150,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.1414,0.9885,0.0741,0.9923,0.0597,1.0,0.0374,1.0,0.0146,0.0,0.0,1.0,0.0525,0.0038,0.024
009540,15.0,27.0,23,43,09:00,0.9923,15:30,0.9654,0.0,0,0.9923,0.1084,0.9885,0.0583,0.9923,0.0463,1.0,0.0424,1.0,0.0179,0.0,0.0,1.0,0.1185,0.0038,0.029
